# Camera Parameters from Bundle Adjustment
# Focal length: 886.821880
# Image size: 1024 x 1024
# Principal point: (512.00, 512.00)

# Format: view_id, euler_x, euler_y, euler_z, tx, ty, tz
view_000, 0.782705, -0.904284, -0.414534, 0.075467, -0.044246, -0.915241
view_001, 0.797885, -0.855834, -0.415482, 0.072433, -0.044107, -0.912145
view_002, 0.812403, -0.807275, -0.416885, 0.069219, -0.044075, -0.909190
view_003, 0.826383, -0.758615, -0.418638, 0.065832, -0.044150, -0.906386
view_004, 0.839923, -0.709863, -0.420662, 0.062282, -0.044327, -0.903744
view_005, 0.853101, -0.661027, -0.422896, 0.058577, -0.044603, -0.901273
view_006, 0.865985, -0.612114, -0.425292, 0.054726, -0.044974, -0.898985
view_007, 0.878630, -0.563132, -0.427814, 0.050739, -0.045436, -0.896886
view_008, 0.891084, -0.514087, -0.430435, 0.046626, -0.045982, -0.894986
view_009, 0.903390, -0.464986, -0.433132, 0.042398, -0.046609, -0.893293
view_010, 0.915585, -0.415834, -0.435892, 0.038063, -0.047311, -0.891814
view_011, 0.927704, -0.366640, -0.438703, 0.033635, -0.048081, -0.890556
view_012, 0.939778, -0.317408, -0.441559, 0.029122, -0.048913, -0.889524
view_013, 0.951838, -0.268144, -0.444455, 0.024537, -0.049800, -0.888724
view_014, 0.963913, -0.218856, -0.447392, 0.019891, -0.050736, -0.888161
view_015, 0.976031, -0.169549, -0.450372, 0.015196, -0.051713, -0.887838
view_016, 0.988221, -0.120229, -0.453401, 0.010463, -0.052724, -0.887759
view_017, 1.000511, -0.070903, -0.456486, 0.005704, -0.053762, -0.887926
view_018, 1.012931, -0.021576, -0.459639, 0.000930, -0.054818, -0.888341
view_019, 1.025512, 0.027743, -0.462874, -0.003845, -0.055886, -0.889006
view_020, 1.038286, 0.077049, -0.466207, -0.008611, -0.056957, -0.889919
view_021, 1.051288, 0.126334, -0.469658, -0.013356, -0.058025, -0.891080
view_022, 1.064557, 0.175591, -0.473253, -0.018067, -0.059080, -0.892489
view_023, 1.078134, 0.224812, -0.477019, -0.022734, -0.060115, -0.894143
view_024, 1.092064, 0.273989, -0.480992, -0.027344, -0.061123, -0.896040
view_025, 1.106401, 0.323113, -0.485210, -0.031886, -0.062096, -0.898175
view_026, 1.121202, 0.372174, -0.489721, -0.036349, -0.063027, -0.900545
view_027, 1.136533, 0.421162, -0.494580, -0.040721, -0.063908, -0.903145
view_028, 1.152472, 0.470065, -0.499853, -0.044992, -0.064733, -0.905969
view_029, 1.169106, 0.518871, -0.505619, -0.049151, -0.065495, -0.909010
view_030, 1.186541, 0.567564, -0.511970, -0.053189, -0.066187, -0.912263
view_031, 1.204899, 0.616130, -0.519019, -0.057093, -0.066804, -0.915718
view_032, 1.224327, 0.664549, -0.526903, -0.060856, -0.067339, -0.919368
view_033, 1.245002, 0.712799, -0.535788, -0.064468, -0.067786, -0.923204
view_034, 1.267139, 0.760854, -0.545878, -0.067919, -0.068142, -0.927216
view_035, 1.291004, 0.808683, -0.557428, -0.071202, -0.068401, -0.931396
view_036, 1.316928, 0.856249, -0.570757, -0.074307, -0.068559, -0.935731
view_037, 1.345325, 0.903504, -0.586270, -0.077228, -0.068612, -0.940212
view_038, 1.376728, 0.950389, -0.604487, -0.079957, -0.068557, -0.944827
view_039, 1.411826, 0.996829, -0.626085, -0.082486, -0.068391, -0.949565
view_040, 1.451522, 1.042723, -0.651955, -0.084811, -0.068112, -0.954413
view_041, 1.497025, 1.087937, -0.683294, -0.086925, -0.067718, -0.959359
view_042, 1.549968, 1.132287, -0.721721, -0.088823, -0.067207, -0.964391
view_043, 1.612593, 1.175516, -0.769464, -0.090500, -0.066579, -0.969495
view_044, 1.688002, 1.217250, -0.829611, -0.091952, -0.065833, -0.974659
view_045, 1.780471, 1.256940, -0.906425, -0.093176, -0.064971, -0.979870
view_046, 1.895759, 1.293767, -1.005648, -0.094168, -0.063992, -0.985114
view_047, 2.041039, 1.326505, -1.134438, -0.094925, -0.062898, -0.990378
view_048, 2.223414, 1.353387, -1.299881, -0.095447, -0.061691, -0.995649
view_049, 2.445406, 1.372128, -1.504482, -0.095731, -0.060373, -1.000913
